    607.74    24.755		0.45918E-03
    608.75    24.731		0.46965E-03
    609.77    24.707		0.48015E-03
    610.79    24.683		0.49067E-03
    611.81    24.660		0.50118E-03
    612.83    24.637		0.51172E-03
    613.85    24.615		0.52227E-03
    614.87    24.594		0.53284E-03
    615.90    24.572		0.54341E-03
    616.93    24.551		0.55399E-03
    617.96    24.531		0.56461E-03
    618.99    24.510		0.57523E-03
    620.02    24.491		0.58586E-03
    621.06    24.471		0.59653E-03
    622.09    24.452		0.60721E-03
    623.13    24.433		0.61788E-03
    624.17    24.414		0.62859E-03
    625.22    24.396		0.63931E-03
    626.26    24.378		0.65004E-03
    627.30    24.360		0.66079E-03
    628.35    24.342		0.67154E-03
    629.40    24.325		0.68233E-03
    630.45    24.308		0.69314E-03
    631.50    24.291		0.70395E-03
    632.56    24.275		0.71478E-03
    633.61    24.258		0.72563E-03
    634.67    24.242		0.73648E-03
    635.73    24.226		0.74737E-03
    636.79    24.210		0.75827E-03
    637.85    24.185		0.77617E-03
    638.92    24.153		0.79939E-03
    639.99    24.122		0.82263E-03
    641.05    24.092		0.84589E-03
    642.12    24.062		0.86916E-03
    643.20    24.034		0.89245E-03
    644.27    24.006		0.91575E-03
    645.34    23.978		0.93908E-03
    646.42    23.952		0.96247E-03
    647.50    23.925		0.98584E-03
    648.58    23.900		0.10092E-02
    649.66    23.875		0.10327E-02
    650.75    23.851		0.10562E-02
    651.84    23.827		0.10796E-02
    652.92    23.803		0.11031E-02
    654.01    23.780		0.11267E-02
    655.10    23.758		0.11502E-02
    656.20    23.736		0.11739E-02
    657.29    23.714		0.11976E-02
    658.39    23.693		0.12212E-02
    659.49    23.672		0.12449E-02
    660.59    23.652		0.12686E-02
    661.69    23.631		0.12925E-02
    662.80    23.612		0.13162E-02
    663.90    23.592		0.13401E-02
    665.01    23.573		0.13639E-02
    666.12    23.554		0.13878E-02
    667.23    23.536		0.14117E-02
    668.35    23.517		0.14358E-02
    669.46    23.499		0.14598E-02
    670.58    23.482		0.14838E-02
    671.70    23.464		0.15079E-02
